,Rating,Date,Review
76,1,"Feb 17, 2022",Today there was this homeless person in the train but that's a typical day for anyone. But this person stink so bad you couldn't even wait a minute to get out the train. I ask this black woman if can go to the next cart because she hasn't closed all the doors. But she says there will be just a another homeless person in the next cart. But ladies and gentlemen these people do not care about the well being of others. If they don't even care about the Asians dying. They definitely will not care about the blacks like myself. The don't care for anyone but just getting their coins..
77,1,"Oct 5, 2021","I really dislike the train service it's very sad, slow and unprofessional people have places to go we pay give us service with out us you will be broke at least make us happy it's always a problem the people you pay make them fix the trains the right way and get the homeless people off the train do something"
78,1,"Aug 13, 2019",Horrible service for the people that pay everyday we must fight for better service they don't do shit and don't accommodate people people work everyday day and night and they have messed up service in the day and fucked up service at night they are the worst ever
79,1,"Jul 23, 2019",Horrible service for the people that pay everyday we must fight for better service they don't do shit and don't accommodate people people work everyday day and night and they have messed up service in the day and fucked up service at night
80,1,"May 11, 2022",Take better care of the subway commuters make sure they are safe. Place undercovers. Stop senseless crimes. Clean the subway air.  Use some bleach soap with broom.  Get back to Disinfect the cars again. Clean up the homeless harrassing customers at 59st food spots. Have special assigned police patrol the perverts.  Link up with canadian officials there subway clean.  No nonsense.  Its not about artwork in subway but making sure Al the police stations are not lali gagging ..example 34 st its been a long time. Needs major clean up. Of homeless harrassing passerbys. Make sure you create a penalty for rude unruly kids grom school. Nyc is the most greedy of money and power. Too proud to clean its act.  Mta is way Too comfortable with its trashy subways.   Bus drivers .. Be mindful who you let on bus. Nyc need real global leaders to turn ny around. Nyc thee most garbage of quality of life yet the most proud. Also. Your hired mta sitting behind office box it is there job to make it there business to clean up their stations not be šo meek. Learn take charge and be responsible for Al your surrounding smile you on duty.
83,4,"Nov 24, 2018","I think my bf and I were incredibly lucky the weekend we used the MTA in NYC. After trying to use an Uber or two -- they were expensive AF, just not ideal for a quick ride (the wait was sometimes 8+ mins), and NYC tends to be  busy - the ride alone takes a long time. Remember: train stations are everywhere in NYC. Download the CityMapper app on your phone. It tells you live updates on the trains & which station to go into. Super easy. I'm directionally challenged and I was able to figure it out! We got the unlimited 7 day pass for like 30 bucks each? Around there, it wasn't outrageous. Note: we were constantly going somewhere. The unlimited pass came in handy and it saved us $$$ ride-wise (again Uber is expensive AF in NYC!). And I think 7 days is the minimum for the ""unlimited"" pass. They have more days available but we were only staying in NYC for like 4 days. As for the trains - most of them came on time (perhaps like 90%). The other 10% of the time, the trains were delayed maybe 5 mins. I heard other NYC-ers tell me that trains are sometimes very delayed. Perhaps if you're lucky, you'll see a celeb riding a train with you as well."
84,3,"Apr 24, 2016","Today will be a great day if I don't have to a lay bitch out- I'll be good. Some heffa drops her ass on me to squeeze in. she crumbles my papers in my lap and knocks my book over. I say ""you could have said excuse me, I would have moved over"" she's like ""I did"" I told her I have headphones in. She said ""oh well""I want to elbow her but I knew that was inappropriate so I continued studying.  A Seat became available when at 59th St. She moved over and rolled her eyes.  Wow. The audacity of people. I was getting off in two stops ....so as my train stop approached I got up and swung my big heavy leather bag towards her hitting her ever so abruptly. Whoops! As I  exit the train, I told her to have a good day. This heffa isn't going to ruin MY day!"
85,5,"Aug 27, 2021","While it is outdated, and repairs are slow, it's a thoroughly organized and robust, dependable brand. If you live anywhere in NYC you can use to get anywhere in NYC. City planning bar none."
86,1,"May 13, 2022","The worst subway in the world. So trashy, not reliable, unprofessional, never on time, not safe. Shame on you bstrds"
87,1,"Sep 17, 2021",Continue the same tonight the lady at 53 street said me is a pilot program the OMNY but when I ask her why the advertising a pilot program she said me to go and get a metrocard if I want to travel.
88,3,"Oct 3, 2015","Oh... the MTA subway system..In my 20+ years in this city.. A couple of positives. LONG list of negatives. Some interesting experiences. Some interesting people.First of all, I agree with reviewer Tina C., in that ""New York City has the MOST efficiently covered citywide system. It is truly the ONLY one system in the whole world that operates 24/7 @ 365 days a year."" Now I can't speak for other major cities, but I can speak for my home city of Shanghai. Ok, last time I was back in Shanghai was 2011..and even then, the subways in Shanghai..however technologically advanced they were compared to NYC, however clean and well maintained they were compared to the dump that is MTA's subways.. The subways in Shanghai DO NOT run 24/7. So just on that point alone..NYC's subways has the win! But damn..back to the maintenance issue. Many of NYC's subway stations are so filthy! The stations themselves are dirty.. the tracks have so much garbage..frequently starting track fires that cause delays in the commute. Lots of homeless people congregate in the subways too. From my experiences in taking the E and F trains, I've seen homeless people hog an entire corner in the a subway car, sleeping on the seats and having bags of their belongings strewn about in front of them. Navigating the subway system is more efficient and easier in recent years. Most major stations have wireless connectivity. And there are many mobile apps you can download like Embark NYC and Exit Strategy, that can give you up-to-date information on Subway times, delays, etc.Taking the NYC subway system as a primary transportation every day..you can see people from all walks of life..and many people may say, that is the ""beauty"" of NYC; it's such a huge melting pot of different cultures. And that's true.. You can see some interesting people in the subways..loll Although, I know many people who say it is because of so many ""weirdos"" in the subways, that they refuse to take the subways and prefer to drive to the city or take the LIRR. So it is honestly a love/hate relationship..loll"
89,1,"Aug 4, 2019","Someone seriously just needs to take the mta out back and put them out of their misery.Gross incompetence that reaches incredible, soaring heights never before experience by humanity."
90,3,"Mar 17, 2017",This is a typical New York city subway. it's better than it was in the 70s and early 80s. I don't like how dirty it is and it always smells!there's always beggers and the prices keep going up.the quality doesn't change on a positive note the train is much safer than it was in years past.I like there is more security.But I wish there was more maintenance to clean the cars.
91,1,"Oct 11, 2020",Something needs to be done about this subway station. There were People laying possibly dead in the hallway. So many people with mental issues mosey around. I think the subway security can do much better than this.
92,1,"Nov 8, 2020",Worst transportation ever tijuana has better an faster service People should get fired
95,1,"Aug 5, 2021",Today I was in the r train with my nephew this train has no safety it was lady who act Like she it mentally disturbed with a pice of card board in her hand had a blue shorts on white tee she rush up to a chinese lady to hit her my nephew was very terrified we get of that carriage I went to the other carriage  when I get off j street metro teck the lady get off there she start to act agIn on the subway no one cares about people life my nephew was very scared crying when I came for the a train there goes the lady agIn I took a picture of her when I call the cops the say the can't come why is this home less people in the train no conductor on the train checking no cops on the r line subway that how she could have push me and my nephew this is very terrified someting need to done about this I need justice to be solve cops need to check these train for safety of people that how we lost our life it's a shame to this happen today
96,1,"Sep 21, 2016","The Easy Pay Xpress metro card is a huge joke-- DO NOT GET IT Not only do you need to call their support service line, which means spending 45 minutes on hold during a week day, to cancel your service should you massively regret signing up, they do not send you a different Metro card that you can begin using, since the EasyPay card cannot be reloaded using their regular machines apparently. Their website looks like it's from 1995 and is impossible to understand. They also do not refund your balance back to your credit card for 10-12 business days even though your card is immediately canceled. Oh and the best part is after waiting those 45 wonderful minutes on hold, you will likely find the tellers' explanations of why you've been incorrectly charged a variety of different amounts to vary person to person, and you are only met with sour attitudes when you ask for clarification. Not like being out $150 for two weeks is frustrating enough. Gotta love MTA....."
97,1,"Oct 28, 2021",Metro cards are not reliable. Constantly lose money
98,1,"Oct 16, 2021",Very expensive and poor service. Just see what kind of people are managing this shit!
99,1,"Dec 15, 2015","Old, overcrowded, dirty, chronically late. After traveling on countless underground systems all over the world's largest capitals, I can now say that the MTA subway system is among the worst on the planet. Slow, inconsistent, corrupted and never apologetic.I use it only because I don't have a choice... and unfortunately they know it."
100,5,"Nov 10, 2018","After having waited more than a half hour for a bus that never showed, (my last 3 bus waits) I've concluded that the MTA's level of incompetence and disregard for customer service is actually kind of impressive. Well done MTA!"
101,5,"Oct 28, 2018","After having waited more than a half hour for a bus that never showed, (my last 3 bus waits) I've concluded that the MTA's level of incompetence and disregard for customer service is actually kind of impressive. Well done MTA!"
102,4,"Oct 6, 2018","PROS:1. Extensive rail system with frequent service. Much better than most other cities in the U.S. Very easy to get around NYC with the subway system. Most other American cities only have buses or ""light-rail"" trains that have to share the road with other traffic. New York City still has the best transit system in the country despite the service problems. That's why you don't need a car here.2. Cheaper than Uber.CONS:1. Service delays due to train traffic2. Metrocard doesn't work if you just used it like if you entered the wrong side and had to exit and re-enter on the other side. They need to remove the 18 minute time restriction. Also sometimes the Metrocard reader does not work because the machine can't read your card.3. Equipment breakdowns... (Trains, track signals etc.) if the train breaks down in service, it creates a massive bottle-neck and you can be stuck for a long time. This is a serious problem that needs urgent attention. Somebody has to pay for the maintenance and upkeep of this system. If the private sector isn't paying, then a tax increase may be necessary. I don't think anybody wants another fare hike..."
103,1,"Mar 24, 2020","Live and I love New York, but the worst part is the MTA, yall could eat a whole frankoli! Never on time...never reliable...and most drivers except for a few are a depressed excuse for a human being..."
104,1,"Jun 25, 2015","Reverse backwards MTA = All The Money ORMTA= Money Thrown Away!To me it's a love/hate relationship with New York's MTA.  When compared with mass transit systems in other cities/countries of the world, I admit New York City has the MOST efficiently covered citywide system that operates the five boroughs aside from LIRR, LIRR Bus, and Metro North.  It is truly the ONLY one system in the whole world that operates 24/7 @ 365 days a year, in the ""City that Never Sleeps.""The system is over 150 years old yet so vastly complicated of gargantuan size that is impossible to upgrade and maintain for outdated equipment; dilapidated stations; dilapidated signal switch problems, inefficient on-time service among other major problems.  Just follow the sound of unwarranted hostility with service issues as nearly every New Yorker will devour how the fare continues hiking to infinity, in conjunction, with ill service performance are a rapid tale spin grave decline.  Panhandlers everywhere and their strong stench airing the trains, ""trains are delayed due to congestion ahead"", ""emergency brake is activated, train crew is investigating the scene"", ""police activity"", or the annoying ""signal problem"", plaguing delays, and the infamous ""this train is out of service, no passengers!!""  MTA is a commuter apocalypse brewing a perfect storm of subway repairs, construction, and commuter rail travel woes that worsens gridlock congestion is creating a commuter's worse nightmare."
105,4,"Apr 12, 2015","Inter-crossing from Brooklyn to Queens? Or continuing into Manhattan?Hoyt-Schermerhorn Street Station has four island platforms/ cross-platform interchange with six tracks (only 2 in passenger service) which the remaining two are abandoned, no longer used in revenue service.  The two abandon island platforms are, occasionally, used for filming such as 1978 ""The Wiz"".  Nearby is the defunct Court Street station which currently serves as the New York Transit Museum.Due to its width of the station's large mezzanine, inside Hoyt-Schermerhorn Street Station, is a NY Transit Police Station and several NYC Transit Authority offices, and a 24 hour a token booth attendant, ergo strap hangers feel safe.  Few pan handlers exist here, no street busks, and no loud religious preachings.  A, C and G trains are accessible here."
106,4,"Sep 10, 2015","I've never lived in New York so I've not had to use the subway as a resident, nor am I sure I'd want to have to rely on the subway system to commute to and from work through the week, as I can only imagine how congested and busy the system must be and how many commuters are trying to ride during ""rush hour"". That said, for the weekend a friend and I spent in Manhattan, staying near the Theater District and wanting to see the usual tourist sites like the Statue of Liberty, 9/11 Memorial, Chinatown, Columbus Circle, etc. the subway system was perfect for us. It was fairly easy to navigate, it was reliable on that particular weekend, and the cost was reasonable as well.   To boot, we were able to map our route via Google Maps and understand which line to use, where stations were located and how best to get to and from everywhere we wanted to visit."
109,1,"Jun 5, 2017","All you need to know about this organization is that the top ""braintrust"" make $200,000 plus per year, they spend billions on shiny new stations, yet don't have the intelligence to invest in signal systems that are 100 years old, therefore trains are always delayed. S Stations and train cars are dirty and reek of urine. The fares cover half the cost so every business in the state within 100 miles has to pay a tax to subsidize this nonsense.  I look forward with great anticipation to the day when I will depart nyc for good, never to return."
110,1,"Aug 2, 2019","I once had an opportunity to make a pitch for discounted test preparation to the MTA's workers union in downtown Brooklyn. This was, at the time, the most important sales meeting of my life. I made it to their Court Street palace early, went up the fourteen floors on a neon lit elevator, and was escorted into a state of the art boardroom with a long table. Seated at the table were twelve apostolic fat white men, the likes of which you'd find pointing and barking orders at the honest MTA workers shoveling bat shit off the third rail. The ogres then offered me some water and asked me where my partner (our lead salesperson) was. I then apologized and told them she hit some traffic and was running a bit late. The MTA Union president, the fattest of the 12 sweating beasts, laughed and asked me how I got to the office. I told him I took the R train.  He then leaned back in his plush chair, placed his ruddy hands behind his thick skull and said, ""Now look who arrived on time.""I arrived ""on time"", by the way, because I left forty minutes early. My partner likely hit traffic because most people would rather drive in the worst of Manhattan traffic than roll the dice on a smelly NYC subway car that was likely to stall out at any given moment. No matter the reason, the fact remains: the MTA is an organized crime organization the likes of which New York has never seen in its sordid history. It is, to most resident New Yorkers a necessary evil. Like genital warts after a night at a whore house.Only replace the whore house with just a general place where you're forced to go to work, buy groceries, meet a first date, go on a job interview, and rush to see a dying loved one in the ICU before they go quietly into the night. Odds are, if you live in an outer borough in NYC, you will be late to all of these occasions thanks to the fat douchebags getting discounted SAT classes for their spoiled pre-diabetic children. The MTA is now posting ads about cracking down on fare evaders with signs that read, ""We'd prefer you pay the $2.75 than the $100 fine."" Only trouble with this brilliant piece of cautionary marketing? The fare is already $3.00 a ride. The bastards couldn't even keep the price down long enough to make their own expensive banner campaign relevant.You see, this is only a small share of the enraging hypocrisy and economic rape the MTA continues to inflict on every day New Yorkers. Here's another one if you think I'm being too harsh on a system that employs so many perfectly kind and hard working city folk. About a year into living in NYC, I began to notice an uptick in trash on the subway. Even the MTA started to take notice and built in pre-recorded messages on the train about track fires resulting from litter and garbage on the platforms. The real reason for this litter issue? The MTA single handedly removed 1/3 of all trash cans in the subway stations as a means for ""reducing"" pollution. With no place to put one's trash, what did New Yorkers do? Why, of course, they polluted. These days, the MTA remains that bullshit bar on Time's Square that serves free spicy peanuts and cuts you off when you drink too much. They are quite literally the source of all of their own problems, and worse yet, all and I mean ALL the problems in the city. Don't believe me? Let's look at the life cycle of the NYC subway system: The MTA's purposely faulty, corrupt, Union-based construction causes delays on all train lines. The delays then cause train malfunctions and brake degradation. The resulting train malfunctions and delays cause motion sick passengers to pull emergency brakes instead of getting off at the next stop. These sick passengers cause further delays thereby increasing mass depression and layoffs across the city. These layoffs result in an income disparity between those who must ride the subway, and those who don't have to. What happens next? A mass exodus of middle class New Yorkers and a rise in homelessness, of course. The remaining homeless who are too poor to leave the city then flood the train platforms in search of air conditioning and spare change. The people on the train, now poor and depressed themselves, give nothing to the homeless. Seeing the lack of options, one of these poor homeless men throws himself in front of an oncoming R Train and further causes more delays. Rinse. Repeat. $2.75 to $3.00. After all, someone has to clean up the mess.If any business was as poorly run, grossly misrepresented, and abhorrently self-sabotaging as the MTA, they'd be a Dateline expose every week. But no, we've just learned to accept the molestation with no plans for change. Like global warming and the existence of Ed Sheeran, we just roll with it. Well I won't. I say we skip the turnstile all at once one day, and scream to the heavens, ""I'm mad as hell, and I'm not going to take it any more!"" I say we all pull the emergency brake whenever we feel like it. Just let me get to my 2AM taco uptown first."
111,1,"Sep 19, 2019","New York shitty never ceases to amaze me as to how low it can stoop, while also being one of the most expensive. Especially the MTA is running on some third class standards in this supposedly 'world class city'.I have to warn anyone on a vacation that the city smells like pee, and the subways smell worse than that.Never have I ever come across a station that doesn't smell or is rotting, even the newly renovated ones have managed to look like catacombs.People say it is 150 year old so not to expect anything spic and span but they had 150 years to atleast learn to do the bare minimum, like make the trains and the buses run on time, have some hygiene, courteous employees, make ticketing more efficient, train traveling more safe, accessible for all. I am sure they had strollers and disabled population 150 years ago when this shitty concept was conceived, or do the old white men never cared for that part of the population? If God forbid I have to take the elevator, I have to hold my breath.This is by far the worst subway system of all, learn from London, Paris, San Francisco, Singapore.For $2.75?I don't even want to get started on the buses."
112,4,"Sep 23, 2017",By far the best way to get around New York City and the other boroughs.We take the subway from JRK Airport into Manhattan.
113,1,"Nov 16, 2020","The ""A"" train is the worst train to connect to. All other trains see a connecring train arriving and they wait for passengers. You get off the ""G"" and the 'A"" train going to Manhattan will close its doors right in your face and drive off every single morning causing you to have to wait for the next one!!! The worst!!"
114,1,"Aug 15, 2019",I can't believe the MTA has more than one star... maybe tourists. Worst public transportation system in the United States and maybe world. I'd rather take the BART...
115,1,"Sep 27, 2016","The only reason I am giving a 1 star review is because I cannot give you 0. That is what you deserve.The management of the NYC MTA Subway is a fucking joke. They seriously need to reevaluate how to direct trains. To have fucking delays at 9 at night because of ""train traffic"" is unacceptable. I just waited 10 minutes due to ""train traffic"" 200 yards from the fucking Woodlawn station. What kind of shit is that!Fix your fucking signals and figure out how to move trains without delays. I can't imagine how hard it is to manage trains. You don't even need a college degree to get a job here. You waste the publics money paying people who are incompetent to complete a simple task. You only have to manage 22 different lines. You would be better off investing that money in a computer system that can handle thousands of tasks at once than people directing the subways now. You are a bunch of idiots running the subways."
116,1,"Feb 19, 2019","Omg don't even bother getting an Easy Pay metro card thinking it'll make your life easier. GOD FORBID it gets lost or stolen (or both, like in my case), it is impossible to reach someone because apparently, there is ONE single person named Erica who handles any issue you may have.  The phone rings endlessly when you call (877) 323-RIDE and the website was down for 3 days. When someone finally does answer, it's Erica. Well what if she's busy? What if she's on vacation? What if Erica dies? How does a company that keeps charging more & more offer sh*ttier and sh*ttier service???  Get with the times! And the website is like something you'd access when the internet was first invented. May as well use a Commodore 64.  So stupid. They claim to have cancelled my lost card and mailed a replacement but 4 weeks later I've still never received a new one so I just cancelled my Easy Pay account all together. Now I have to monitor my credit card to see if I get the remaining balance returned. Not worth the hassle. Metro cards are bound to get lost or damaged, may as well just buy & refill at the kiosks.  At least those things still work."
117,1,"Sep 9, 2020","Recieved a toll bill for a vehicle that is not mine.  Automated billing system thought the 9 on the plate was an 8, so the bill was sent to me by mistake.  just LOVED having to mail in a dispute form, along with documentation proving it's not me because THEIR system sucks."
118,3,"Jan 14, 2015","If you have any wall, surface, etc in your house with peeling paint that you're starting to feel self conscious about, come here! You will feel so much better about yourself.  Is it possible for there to be a peeling paint world record?  The paint has clearly been buckling for decades.Likewise, if your car ends up sometimes littered with juice-soda-beverage bottles, trust me--your car's floor has nothing on the train tracks at this station....All that aside....it got me where I was going...and I was able to seamlessly walk from the G train across to the A train and make it to Manhattan in no time."
119,3,"Nov 17, 2014","Because....Sometimes you just feel like saying ""schermerhorn""... or attempting to, anyways. Took the g train from here.  I made it back so that's a-ok with me!"
122,5,"Jan 5, 2020","I loved it, nice hispanic people who help you out if you get lost. Most people aren't as nice, but my latinos are always good people. Especially the older ones. I hope we go back again soon. My wife almost got mugged by some stupid black kid, Thank God he didn't realize I was with her. I beat the crap out of the kid and left him thinking about his actions. Besides that? We had a blast! Cops weren't around so make sure if you go? You at least know how to throw a decent punch. Thank God I learned how to box when I was young."
123,3,"Dec 30, 2014","I have to say, a 24-7 service isn't easy to plan or coordinate - and while I don't trust their ability to negotiate fare increases (I'm going to guess a significant amount of pork in their budget), $2.50 for anywhere in the city via subway isn't horrible, and they do cover a decent amount of ground with the buses *gasp*, too. Yes, the buses aren't bad other than at rush hours.And the BusTime app is great - why can't they do that with every subway line? It shouldn't be hard to put in a few sensors showing where the train was *last* (forget about between station times)."
124,4,"Feb 16, 2014","Is hard to rate this, because there are pros and cons with the L line.Pros:You will get to Manhattan rather quickly than any train line, 25 to 30 mins. You can sleep on train while heading home without dealing with noisy riders.The train are clean (shocked)Cons:I hate when they do repair work, so it forces me to take an alternative routeDuring the summer, they tend not to follow their schedule, eg they leave 1-2 mins early. Tip:I do not know why I posting this tip here, because I do not want the world to know all my tricks. Oh well, I drive so it is ok. If you heading downtown, from Union Square, head Uptown 2 stops and get you will always find available seats. Trust me on this one, because people are fighting for seats on 14th Street.  I swear, I saw a lady snatch a $74.99 wig (yak no.15 with a coupon from Groupon) from a lady head to get to last available seat. Don't believe me, disobey. Ha!"
125,3,"Jul 2, 2013","Wish they had air conditioning on these platform saunas! At least the rats are enjoying the heat.This is one of the Lexington Avenue #6 line stops I take to work occasionally, or the 28th street station, depending on where I want to grab breakfast before walking into the office. Basic subway station as with most. Not a horrible station as it's fairly clean. No access to the opposite side tracks below ground so you have to cross over Park Ave if you enter the wrong side. No express service - just the local #6. One stop up is Grand Central where you can transfer to multiple train lines.Eh, it is what it is. Understaffed. Announcements suck. MTA ride cost gouging. Yet, it's still the easiest and quickest way to get around the whole city. Cheaper than a cab ride too. Unless they are doing trackwork for the zillionth time! Or there are signal problems! Or some a-hole who is sick gets on the train and delays it!"
126,1,"Dec 14, 2017","MTA represents what's wrong in NYC to me. I've lived in NYC all my life and relied on MTA all my life. In my earlier years, MTA was not the mess it is now. Trains weren't breaking down as frequently and the stench in MTA has not changed; still smells like piss everywhere I go. Same, if not, a declining service but they have no qualms about increasing fares. Once one fare increase passes, they're already vying for the next fare increase. It's not about managing a debt, it's about a quick fix to the detriment of riders. deja vu. Can't do nothing but move out of NYC."
127,1,"Aug 28, 2014","So I can write a review for the MTA, that's great because I am so displeased with their service. I have lived in NYC all my life and know the supposed ""progression"" in service that has occurred all these years and lemme tell y'all, it's limited. Almost at the end of every budget year they scramble for more money and their scrambling is coming up to the citizens of NYC and telling them to cough it up by paying extra for fares. That's crazy. This is in addition to the tax dollars we pay. Where is MTA's money going? In my opinion, I think it goes to pay for unchecked overtime that workers do but who supervises these overtimes, then there's pension and then there is MTA's debt. Why should the citizens of NYC pay for their mistake in mismanaging their money and suffer bad service? I don't need more signs to tell me where my train is or wifi in the train stations, those are added bonuses. Your main objective is provide me and everyone else service to get from point A to point B which means your concentration should be on creating better train service not a better train experience. That's secondary. Get your priorities straight MTA!"
128,1,"Jan 31, 2020","1/30/2020 11:46pm main st stop. The Q58 bus driver closed the door in front of me before I could step into the bus. I even knock on the door.He pretend he did not see me, but I saw his face. I was few steps behind the last person ,  the driver could clearly see me coming, yet he closed the door one second before I walk up.  Perfect timing. Dude, why are you treating people like this, what the hell is your problem. I was trying to find a way to compliant while waiting for the next bus out in the cold, eventually I can't because the office if closed.  KARMA WILL GET YOU ,SHAME ON YOU."
129,4,"Apr 22, 2012","This is the 33rd street local station on the 6 IRT subway line; it's one of the original 28 stations in the system. http://forgotten-ny.com/2006/01/the-original-28-part-1-a-look-at-the-artwork-from-the-nycs-first-28-stations-opened-october-27-1904-2/ There is no transfer and no express; there is an alternate entrance/exit at 32nd street in addition to the one at 33rd. It's been remarkably well-kept, with the original glass tiles and natural woodwork. The neatest thing in the station is the public, functional art: graceful cast-bronze rails that wrap around pillars in the station and make surprisingly comfortable seats. (Plus, your butt helps keep them polished.) The piece is called ""Lariat Seat Loops"" and was done in 1997 by James Garvey. (I noticed today they've also got some of these seats in the Wall Street station of the 4 and 5 trains as well.)"
130,4,"Feb 27, 2012","Oh, how I love this station...oh, I love how the name comes trippingly to the tongue. Only in Brooklyn do you have melodious names like ""Hoyt-Schermerhorn."" [sarcasm]This subway station is truly a ""piece a woik,"" as they say. If you read my other reviews, you know I really do love the gum-stained concrete platforms and white tile walls with yellow railings on the staircases. I have no idea when the station is scheduled to be renovated, although the Jay street station one stop up on the A/C line has just been completed.This is a sprawling station that includes both the A and G (Brooklyn-Queens crosstown) lines; there are plenty of inactive platforms, and still it's a pretty efficient station. The G parallels the A here giving you an easy transfer. (The G itself is a whole 'nother story; that train is a sorry piece a woik.)From SubwayNut's guide to stations: http://subwaynut.com/ind/hoyt_schermerhorna/index.php""Hoyt-Schermerhorn Streets is a very unusual IND express station and across platform transfer point between Fulton Street Line A,C trains and Crosstown Line G trains. The station has four island platforms and six tracks in total, with only the central four tracks and two island platforms are currently in use. The outer two island platforms (The A,C trains platform at both tracks) and wall tracks are permanently closed and only saw about ten years of service for the Court Street shuttle, to that IND station that is now the transit museum. The tracks do see service at times for movie shoots and the station name tiling beneath the wall trim has been known to be for other stations from time to time courtesy of this. The station's former large full mezzanine have been cut apart in a completely ridiculous manor, now with a NYPD transit police station and other non-public areas. There are two staircases up from each platform to a small mezzanine towards the middle of the platform to where the station's only fare control area is, after fare control narrow passageways lead in either direction along one side of the former full length mezzanine to a single staircase at each end up to street level to exits along the north side of Schmerhorn Street near either Hoyt Street or Bond Street. Unusually, each of these exits is set at street level within buildings."""
131,2,"Nov 1, 2015",For someone who doesn't use the subway system a lot I have to say it is rather confusing at first until the second or third time finding your way.  A city below a city.  Quick pace for the knowledgeable users.  Once I started using an app on my cell phone all fell into place and I got it. Pretty amazing a 7 minute ride can save you 40 minutes of walking time.  Cheaper than a taxi and you don't have to sit in traffic.  Lots of characters down below and normal travelers.  Always something to see and it doesn't have to be Halloween to see it.  Just remember to wash your hands after traveling!
132,1,"Jul 14, 2015","INEFFICIENT SERVICE. I have traveled to Paris, London, Moscow and all have highly superior subway systems. The MTA has frequent delays. The tracks are covered in trash at a lot of stations, I think the people working for the MTA are purposely delaying trains. Something is very wrong with this system. Why do they not power wash the beautiful remaining Mosaics? They don't wash them so that they can create jobs tearing them down and putting up new ones with ugly bathroom style tiles and take several months to finish the job (as usual).THE MTA is beyond bad. Here is a blatant example of typical behavior from the system administrators (excuse the confusing language but this exemplifies it)""LADIES & GENTLEMAN THE TRAIN ACROSS THE PLATFORM WILL BE MOVING FIRST"" (the herds scurry across the platform, fear stricken, some panicking, some angry and agitated, many tired) MTA: ""LADIES AND GENTLEMAN THIS TRAIN IS NOW OUT OF SERVICE YOU MUST NOW MOVE ACROSS THE PLATFORM TO THE NEXT TRAIN"" (The doors remain shut, it's cold windy and rainy outside, people are visibly upset, meanwhile subway doors are shut and won't let anyone in the cars) People sit. ""DO NOT BLOCK THE DOORS (Roars the loudspeaker) YOU ARE DELAYING THE TRAINS (Notice how they avert to blaming the MTA customers for the delay and scolding them like little children) The train sits there for 15 minutes and finally moves. This could be an excellent system if it had an overhaul and changed it completely. For now it will continue to be a piece of sh*t. I don't think this is what the builders of the system intended."
133,3,"Feb 25, 2014","Ah, the 33rd street station.  It's tiny and you'll be waiting for some time on the 6 to arrive (and it's a local station that you have to leave & pay again for if you end up on the wrong side) but at least it does have those convenient times clocks & you can get cell reception down here if you stay near the entrance.It kind of goes without saying that the MTA sucks."
134,3,"Jul 14, 2013","The station within a station.  You can look across the way & see the other platforms for the train in the same direction; are they the old ones or new ones that will be in use long after we're dead & gone?  I hate the lack of a second entrance to get to this one; when we were coming back, there was a huge mass of people in front of the stairs to get down here.But they do have a covered entrance to get in and there is more to this station than some of the other ones.  Not as nice as it could be but you can do a lot worse."
137,3,"Oct 31, 2013","Love/Hate.  The subways actually aren't that bad.  Yes; certain lines are FAR better than others.  But they run relatively close to being on schedule.  And the new measures to make stations with electronic wait times and announcements along with the new internet hot spots (even if bandwidth is still an issue) help make me feel the rate hikes are actually doing something more than paying for some rather high blue collar (no offense meant by that term) salaries.  The buses, though.....meh.  I know they can only stick to their schedule due to traffic but so much....but I've had to wait, and had friends have to wait, for buses which never come....or decide they're not doing the last run of the night...and the only way to find this out is to call some magic number, which isn't easily found through public means, to see if the driver called off.  That's some shady stuff, especially on Express lines.That being said, the Select buses are awesome."
138,3,"Jul 17, 2012",Ok.  The name is awesome and sometimes makes me smile.  So I'll bump my review up to a 3-star one.  But I really hate having to transfer at this station.  I'd much rather use Jay Street.  This one just seems so vacant and industrial.  Not a fan...but not a hater.
139,1,"Jun 2, 2019","Useless.  79st bus.  No bus for 30 minutes.  Then, 4 buses in a row, 2 min between each.  How about spacing them out better.  Morons at the mta still haven't figured out the concept of scheduling adjustments."
140,1,"Oct 27, 2015","This station, 6 train 33rd, symbolizes the MTA's deficiencies so well: small, outdated, unfit for the needs, dirty, dangerous lacking of barriers, often too overcrowded a train from 42nd before or 14th before it to even board, etc. Big sigh all around."
141,1,"Jan 23, 2017","Pretty simple review here MTA is trash... yet they continue to raises fares. Trains/buses are rarely on time, stations smell like the ninja turtles hideout and are just as clean, the possibility of contracting an STD jut touching a rail is always a possibility and the chance of spotting some acrobatic wild life while on the platform or in the train is an absolute certainty. The MTA is a joke of an organization who's execs makeMillions and continue to raise prices and continue to lower quality. Don't even get me started on MTA booth workers. They hate their lives and people who actually make them do their job. God forbid you ask them for directions or to combine the money on your metro card. They should just replace them all with a machine at least the machine has manners an etiquette although that's programmed into it. The rats in the station have more social skills then the employees. God forbid you get a cart that has air conditioning in the middle of July or a set that has heat in the middle of January. The cleanest thing in a subway station is the garbage can and the homeless guy peeing on himself in the corner."
